method,CRPS,MASE,rank
TiRex,0.650,0.421,5.155
Toto_Open_Base_1.0,0.673,0.437,7.577
YingLong_300m,0.716,0.463,10.113
YingLong_110m,0.726,0.471,10.897
TabPFN-TS,0.692,0.460,11.144
chronos_bolt_base,0.725,0.485,11.371
timesfm_2_0_500m,0.680,0.465,11.526
TEMPO_ensemble,0.773,0.434,11.711
YingLong_50m,0.738,0.479,11.866
chronos_bolt_small,0.738,0.487,12.423
sundial_base_128m,0.673,0.472,13.062
TTM-R2-Finetuned,0.679,0.492,13.691
Moirai_large,0.785,0.506,14.021
Moirai_base,0.809,0.515,14.062
PatchTST,0.762,0.496,14.247
TFT,0.822,0.511,15.660
YingLong_6m,0.790,0.514,16.309
Moirai_small,0.849,0.549,17.948
Chronos_large,0.781,0.547,18.784
Chronos_base,0.786,0.551,18.876
TimesFM,0.967,0.575,18.887
Chronos_small,0.800,0.560,19.979
TIDE,0.980,0.652,23.928
DeepAR,1.206,0.721,24.072
VisionTS,0.775,0.638,26.082
Crossformer,2.310,1.383,26.237
Auto_Arima,0.964,0.770,26.979
N-BEATS,0.842,0.689,27.062
Lag-Llama,1.102,0.744,27.464
TTM-R2-Zeroshot,0.915,0.738,28.804
DLinear,0.952,0.714,28.990
TTM-R1-Zeroshot,0.969,0.753,29.289
Auto_Theta,0.978,1.051,29.392
Auto_ETS,1.088,6.327,30.443
Timer,1.019,0.820,31.320
Seasonal_Naive,1.000,1.000,32.010
Naive,1.260,1.383,33.928
